id,envios,ventas
41a08f00-0623-49a7-b214-71ad25fc68e2,1166,132
492409e4-5606-46d3-8ca6-9073d02e5f90,1407,330
e9492f1c-2fb1-4bee-8213-611f56888d4f,660,176
6db9c0ea-7b6c-46a7-b2d5-265c4d8a109f,902,132
3b029f0c-6a35-49ed-b854-35e6cee168b6,286,44
f96e4f2d-9f95-4d00-ac52-3062132dceb8,264,66
ed0951a8-d12a-444f-a678-20dd30d0917c,770,264
18344263-0353-4687-a313-497965641e89,1056,308
e951fae5-2a87-4a05-b516-e3f2f42918f8,550,176
124b6747-cd86-4611-bb67-cdc99c5ca471,726,176
a750211a-af91-4a5a-9f6a-0a8a25fd9e56,154,66
ace17c40-669b-49ba-bb75-8c4a89a30b52,110,44
e2fcfe16-4d7c-4ec1-b965-8928c5563f3b,880,286
530cdc1a-5360-42b6-9ce7-0c9244ba31eb,572,220
3e6dcca6-43f9-4c3e-9e38-edead9aa7695,660,220
226e0152-9f4e-40c9-b6b0-18949cf7c71a,308,198
59e58056-7402-4782-9df2-c30a732cf6bd,154,44
fdd55783-bc0f-4085-9500-a5c508ad3a12,220,22
1e28a68f-e655-4913-8776-8bfe08f688d4,682,286
a18fc18e-e31b-45b4-a313-2ade2d036076,836,330
01267207-36b2-470c-a32c-bb6504e5e64a,594,176
7ae2ce0c-9598-49d4-ba1e-81d6c8676483,528,176
7a127c94-00ae-4655-ab13-8daac2492272,176,66
bbea97c9-c330-4dd3-9803-0896e15d4d14,132,66
db6c22fe-1cb1-4e18-a016-26796a4da019,792,396
703a2cda-8f95-477c-87de-475fb61bb86e,792,352
ec152291-e896-41cc-9793-233df66c6669,308,220
4805fc65-15ee-40b7-8fd2-7872187610f7,440,176
df31644e-57f3-4d80-be88-8ad3ae4bc6fc,88,66
e0ffab24-b4b8-433a-84ef-862e80bef12d,242,66
fe8c0bca-3f4c-4007-a4b6-191dbfb0731a,924,352
7e279490-6c5c-4bb1-b6c3-601d9b7ee91f,814,374
585474d6-3f34-4e8b-a00a-dd8495fa5556,418,198
5fcedd24-324f-42e1-b217-641c5da0a7cb,462,198
d9f4dd4f-c4b1-4df0-a221-3f8cefa5ef9b,220,44
0487b04a-63e1-44f8-a9ed-e28540f89d4b,330,88
ae2af3d5-b8ab-4950-bd1d-bfd79537aa8c,968,220
5bdd55b6-98f6-4f73-b3dc-fbb11f93aacb,924,198
b942e4e7-4cbf-4c6f-91fa-d1022ed37718,572,176
25035a23-53aa-4511-8d80-93e7e887ceef,352,154
be622fae-b340-44e2-b4e2-f13a9c643a46,198,66
fe490d04-4635-4adc-9767-37fe455ab2c6,242,66
6a1caf0e-2cf5-4f15-874b-d3a09b438d6e,990,198
1c122e14-922f-4412-812b-50b0dce25e5e,1297,264
dcfc18ce-e511-45c9-bc7d-2ef03b7c9c9b,462,176
fc1294af-f334-4081-9e6f-01f93042eb5d,418,132
5069dcf7-5f9a-4be5-8b66-471e44c7828b,154,88
ff44d900-3f35-4668-928d-b108b78c82a4,176,66
fe01f5fd-d3f0-4c07-8162-41bbccd63b01,154,44
